Uniprot id,Gene,Pep Count,log2_fc,q-value
Q16760,DGKD,6,-1.307,0.000016
P98155,VLDLR,20,-1.316,0.000453
Q06418,TYRO3,28,-1.317,0.000538
Q05397,PTK2,8,-1.318,0.000008
P35916,FLT4,3,-1.318,0.000064
O15439,ABCC4,69,-1.337,0.000014
Q5BJF2,TMEM97,3,-1.339,0.000007
Q96F81,DISP1,17,-1.339,0.000058
Q9H2M9,RAB3GAP2,36,-1.349,0.00001
Q9UEY8,ADD3,3,-1.354,0.000007
Q5JTC6,AMER1,4,-1.358,0.00004
Q04912,MST1R,9,-1.36,0.000012
P30825,SLC7A1,8,-1.36,0.000005
Q6IE81,JADE1,2,-1.362,0.000006
Q5W0Z9,ZDHHC20,9,-1.366,0.000004
O75954,TSPAN9,5,-1.367,0.000006
Q6UWB1,IL27RA,8,-1.371,0.00001
P50895,BCAM,31,-1.372,0.000022
Q13444,ADAM15,8,-1.376,0.000027
Q9Y6N7,ROBO1,55,-1.378,0.000143
Q96TA1,NIBAN2,16,-1.378,0.000027
P10114,RAP2A,3,-1.382,0.000004
P12814,ACTN1,17,-1.383,0.000019
Q13563,PKD2,4,-1.386,0.000019
Q9Y5S2,CDC42BPB,56,-1.388,0.000007
Q13705,ACVR2B,12,-1.39,0.000038
P34925,RYK,2,-1.391,0.000089
Q8IWK6,ADGRA3,23,-1.396,0.000047
Q13153,PAK1,3,-1.397,0.000009
O95622,ADCY5,4,-1.403,0.000007
O00299,CLIC1,10,-1.406,0.000016
P23229,ITGA6,70,-1.407,0.000008
Q9H313,TTYH1,3,-1.412,0.000003
Q9ULV3,CIZ1,3,-1.413,0.000004
Q14517,FAT1,73,-1.413,0.092435
Q99835,SMO,7,-1.417,0.000003
Q9UIW2,PLXNA1,56,-1.418,0.000033
Q92896,GLG1,24,-1.419,0.000047
P49327,FASN,110,-1.419,0.000009
P32004,L1CAM,46,-1.421,0.000055
P26038,MSN,22,-1.426,0.000002
Q9UHE8,STEAP1,3,-1.436,0.000005
Q14571,ITPR2,12,-1.438,0.000006
P98160,HSPG2,7,-1.439,0.00185
P11166,SLC2A1,15,-1.445,0.000016
